176,4,18.9,116.2,nil,2,2010-9-20,hook and line,9
177,7,nil,nil,nil,nil,nil,Tag fell out of fish,nil
178,2,16.2,73.7,nil,2,2010-9-20,hook and line,9
179,3,19,124.2,nil,2,2010-9-20,hook and line,9
180,4,16.2,64.5,nil,2,2010-9-20,hook and line,9
181,2,22.8,211.1,nil,1,2010-9-21,hook and line,16
182,2,17.5,98.6,nil,1,2010-9-21,hook and line,16
183,2,17.5,96.8,nil,2,2010-9-20,hook and line,9
183,6,17.5,82.6,nil,2,2010-9-21,hook and line,7
184,2,19.3,130.2,nil,1,2010-9-21,hook and line,16
185,2,21,138,nil,2,2010-9-20,hook and line,9
186,7,nil,nil,nil,nil,nil,Tag fell out of fish,nil
187,3,15.7,58.2,nil,2,2010-9-20,hook and line,9
188,2,18.9,118,nil,2,2010-9-20,hook and line,9
189,2,19,114,nil,2,2010-9-20,hook and line,9
190,2,17.2,93.4,nil,1,2010-9-21,hook and line,16
191,2,23.9,283.4,nil,1,2010-9-21,hook and line,16
192,2,15,57.2,nil,2,2010-9-20,hook and line,9
193,2,15,47.5,nil,2,2010-9-20,hook and line,9
194,2,21.5,175.3,nil,3,2010-9-21,hook and line,16
195,2,16.4,80.5,nil,1,2010-9-21,hook and line,16
196,2,18.4,108.5,nil,3,2010-9-21,hook and line,16
196,6,17,108,nil,1,2010-9-21,hook and line,7
197,6,15.3,57,nil,5,2010-9-21,hook and line,16
197,6,16,58,nil,5,2010-9-23,hook and line,8
202,2,20.6,203.7,nil,3,2010-9-21,hook and line,16
203,4,17.7,117.9,nil,3,2010-9-21,hook and line,16
204,1,23.5,156.4,nil,3,2010-9-21,hook and line,16
206,2,14.8,120.5,nil,2,2010-9-21,hook and line,7
207,6,18.7,98.5,nil,2,2010-9-21,hook and line,7
208,2,18,92.3,nil,2,2010-9-21,hook and line,7
209,7,nil,nil,nil,nil,nil,nil,nil
210,3,16,52.6,nil,2,2010-9-21,hook and line,7
213,2,17.5,81.4,nil,2,2010-9-21,hook and line,7
215,4,16,59.5,nil,2,2010-9-21,hook and line,7
216,3,15,52.6,nil,2,2010-9-21,hook and line,7
217,2,15.5,57.3,nil,2,2010-9-21,hook and line,7
218,2,22.3,191.9,nil,2,2010-9-21,hook and line,7
219,2,18,88.7,nil,2,2010-9-21,hook and line,7
220,2,15.5,60,nil,1,2010-9-21,hook and line,7
221,2,19.8,102,nil,2,2010-9-21,hook and line,7
224,2,20.8,169.5,nil,3,2010-9-23,hook and line,8
228,2,22.4,232.2,nil,3,2010-9-23,hook and line,8
249,1,16.6,57.8,nil,3,2010-9-23,hook and line,8
252,7,nil,nil,nil,nil,nil,nil,nil
253,2,18.2,115.7,nil,2,2010-10-22,Skinny Body. Possibly Hybrid,5 
254,2,19.2,134.2,true,2,2010-10-22,Skinny Body. Possibly Hybrid,5 
255,2,16.7,80.3,nil,1,2010-10-22,Skinny Body. Possibly Hybrid,5 
256,2,17.3,97.2,nil,1,2010-10-22,Skinny Body. Possibly Hybrid,5 
257,2,16.2,68.5,nil,1,2010-10-22,Skinny Body. Possibly Hybrid,5 
258,2,18,99.5,nil,2,2010-10-14,hook and line,5 
259,2,21.1,156.4,nil,2,2010-10-14,hook and line,5 
260,2,15.5,65.3,true,2,2010-10-14,hook and line,5 
261,2,18.5,100.1,nil,2,2010-10-14,hook and line,5 
262,3,15.5,66.5,nil,2,2010-10-14,hook and line,5 
263,6,20.1,137.5,nil,2,2010-10-14,hook and line,5 
264,4,15.3,61.3,nil,2,2010-10-14,hook and line,5 
265,6,15.7,67.5,nil,2,2010-10-14,hook and line,5 
266,7,nil,nil,nil,nil,nil,nil,nil
267,2,15.2,60.2,nil,2,2010-10-14,hook and line,5 
268,2,19.3,138.7,nil,2,2010-10-14,hook and line,5 
269,7,nil,nil,nil,nil,nil,nil,nil
270,2,15,64.8,nil,2,2010-10-14,hook and line,5 
271,2,21.2,221.8,nil,3,2010-10-7,hook and line,6
273,1,31,312.2,nil,3,2010-10-7,hook and line,6
274,1,2.25,234.2,nil,4,2010-10-7,hook and line,6
301,2,18.7,116.3,nil,2,2010-10-22,Skinny Body. Possibly Hybrid,5 
302,7,nil,nil,nil,nil,nil,nil,nil
303,7,nil,nil,nil,nil,nil,nil,nil
307,1,14,nil,nil,1,2011-6-14,stocked on this date,4
308,1,12,nil,nil,1,2011-6-14,stocked on this date,4
309,1,12,nil,nil,1,2011-6-14,stocked on this date,4
311,1,12,nil,nil,1,2011-6-14,stocked on this date,4
316,5,10,nil,nil,1,2011-6-14,stocked on this date,4
317,5,10,nil,nil,1,2011-6-14,stocked on this date,4
318,5,10,nil,nil,1,2011-6-14,stocked on this date,4
319,5,10,nil,nil,1,2011-6-14,stocked on this date,4
nil,2,10.2,17.4,nil,2,2010-9-20,nil,nil
nil,2,14.9,17.4,nil,2,2010-9-20,nil,nil
nil,3,12.8,32.6,nil,2,2010-9-20,nil,nil
nil,3,13.1,26.7,nil,2,2010-9-20,nil,nil
nil,3,14.5,42.8,nil,2,2010-9-20,nil,nil
nil,3,15.3,25.1,nil,2,2010-9-20,nil,nil
nil,3,14,35.8,nil,2,2010-9-20,nil,nil
nil,3,15.5,57.9,nil,2,2010-9-20,nil,nil
nil,2,12.5,28.5,nil,2,2010-9-20,nil,nil
nil,3,12,25.7,nil,2,2010-9-20,nil,nil
nil,4,13,50.2,nil,2,2010-9-20,nil,nil
nil,2,14,64.1,nil,2,2010-9-20,nil,nil
nil,6,15,53,nil,2,2010-9-20,nil,nil
nil,2,12,30.6,nil,2,2010-9-20,nil,nil
nil,3,12.8,27.9,nil,2,2010-9-20,nil,nil
nil,3,17.5,30.8,nil,2,2010-9-20,nil,nil
